No,Zulu,Julday,Temp
34,2016-01-21 17:01:00+00:00,2457409.20902778,211.9
35,2016-01-21 17:02:00+00:00,2457409.20972222,210.0
36,2016-01-21 17:03:00+00:00,2457409.21041667,212.32
37,2016-01-21 17:04:00+00:00,2457409.21111111,209.8
38,2016-01-21 17:05:00+00:00,2457409.21180556,212.12
39,2016-01-21 17:06:00+00:00,2457409.2125,210.08
40,2016-01-21 17:07:00+00:00,2457409.21319444,210.62
41,2016-01-21 17:08:00+00:00,2457409.21388889,209.63
42,2016-01-21 17:09:00+00:00,2457409.21458333,208.57
43,2016-01-21 17:10:00+00:00,2457409.21527778,208.37
44,2016-01-21 17:11:00+00:00,2457409.21597222,212.6
45,2016-01-21 17:12:00+00:00,2457409.21666667,209.55
46,2016-01-21 17:13:00+00:00,2457409.21736111,209.02
47,2016-01-21 17:14:00+00:00,2457409.21805556,208.18
48,2016-01-21 17:15:00+00:00,2457409.21875,209.3
49,2016-01-21 17:16:00+00:00,2457409.21944444,210.23
50,2016-01-21 17:17:00+00:00,2457409.22013889,208.13
51,2016-01-21 17:18:00+00:00,2457409.22083333,205.03
52,2016-01-21 17:19:00+00:00,2457409.22152778,210.23
53,2016-01-21 17:20:00+00:00,2457409.22222222,209.78
54,2016-01-21 17:21:00+00:00,2457409.22291667,209.1
55,2016-01-21 17:22:00+00:00,2457409.22361111,209.98
56,2016-01-21 17:23:00+00:00,2457409.22430556,209.22
57,2016-01-21 17:24:00+00:00,2457409.225,210.95
58,2016-01-21 17:25:00+00:00,2457409.22569444,211.65
59,2016-01-21 17:26:00+00:00,2457409.22638889,206.8
60,2016-01-21 17:27:00+00:00,2457409.22708333,209.8
61,2016-01-21 17:28:00+00:00,2457409.22777778,211.2
62,2016-01-21 17:29:00+00:00,2457409.22847222,209.47
63,2016-01-21 17:30:00+00:00,2457409.22916667,208.42
64,2016-01-21 17:31:00+00:00,2457409.22986111,210.17
65,2016-01-21 17:32:00+00:00,2457409.23055556,210.32
66,2016-01-21 17:33:00+00:00,2457409.23125,214.0
67,2016-01-21 17:34:00+00:00,2457409.23194445,214.6
68,2016-01-21 17:35:00+00:00,2457409.23263889,212.15
69,2016-01-21 17:36:00+00:00,2457409.23333333,214.02
70,2016-01-21 17:37:00+00:00,2457409.23402778,211.97
71,2016-01-21 17:38:00+00:00,2457409.23472222,213.68
72,2016-01-21 17:39:00+00:00,2457409.23541667,218.1
73,2016-01-21 17:40:00+00:00,2457409.23611111,214.12
74,2016-01-21 17:41:00+00:00,2457409.23680556,216.5
75,2016-01-21 17:42:00+00:00,2457409.2375,216.1
76,2016-01-21 17:43:00+00:00,2457409.23819445,212.33
77,2016-01-21 17:44:00+00:00,2457409.23888889,211.58
78,2016-01-21 17:45:00+00:00,2457409.23958333,215.18
79,2016-01-21 17:46:00+00:00,2457409.24027778,215.9
80,2016-01-21 17:47:00+00:00,2457409.24097222,214.55
81,2016-01-21 17:48:00+00:00,2457409.24166667,216.45
82,2016-01-21 17:49:00+00:00,2457409.24236111,216.22
83,2016-01-21 17:50:00+00:00,2457409.24305556,217.87
84,2016-01-21 17:51:00+00:00,2457409.24375,218.7
85,2016-01-21 17:52:00+00:00,2457409.24444444,215.22
86,2016-01-21 17:53:00+00:00,2457409.24513889,213.58
87,2016-01-21 17:54:00+00:00,2457409.24583333,214.75
88,2016-01-21 17:55:00+00:00,2457409.24652778,213.52
89,2016-01-21 17:56:00+00:00,2457409.24722222,214.42
90,2016-01-21 17:57:00+00:00,2457409.24791667,215.97
91,2016-01-21 17:58:00+00:00,2457409.24861111,217.38
92,2016-01-21 17:59:00+00:00,2457409.24930556,213.88
93,2016-01-21 18:00:00+00:00,2457409.25,213.84
94,2016-01-21 18:01:00+00:00,2457409.25069444,217.1
95,2016-01-21 18:02:00+00:00,2457409.25138889,215.18
96,2016-01-21 18:03:00+00:00,2457409.25208333,217.5
97,2016-01-21 18:04:00+00:00,2457409.25277778,220.32
98,2016-01-21 18:05:00+00:00,2457409.25347222,216.43
99,2016-01-21 18:06:00+00:00,2457409.25416667,217.73
100,2016-01-21 18:07:00+00:00,2457409.25486111,212.83
101,2016-01-21 18:08:00+00:00,2457409.25555556,215.98
102,2016-01-21 18:09:00+00:00,2457409.25625,216.15
103,2016-01-21 18:10:00+00:00,2457409.25694444,211.2
104,2016-01-21 18:11:00+00:00,2457409.25763889,214.33
105,2016-01-21 18:12:00+00:00,2457409.25833333,217.18
106,2016-01-21 18:13:00+00:00,2457409.25902778,214.32
107,2016-01-21 18:14:00+00:00,2457409.25972222,218.0
108,2016-01-21 18:15:00+00:00,2457409.26041667,211.33
109,2016-01-21 18:16:00+00:00,2457409.26111111,216.55
110,2016-01-21 18:17:00+00:00,2457409.26180556,215.9
111,2016-01-21 18:18:00+00:00,2457409.2625,218.48
112,2016-01-21 18:19:00+00:00,2457409.26319445,215.33
113,2016-01-21 18:20:00+00:00,2457409.26388889,218.5
114,2016-01-21 18:21:00+00:00,2457409.26458333,216.05
115,2016-01-21 18:22:00+00:00,2457409.26527778,214.62
116,2016-01-21 18:23:00+00:00,2457409.26597222,215.47
117,2016-01-21 18:24:00+00:00,2457409.26666667,214.15
118,2016-01-21 18:25:00+00:00,2457409.26736111,217.18
119,2016-01-21 18:26:00+00:00,2457409.26805556,215.0
120,2016-01-21 18:27:00+00:00,2457409.26875,216.92
121,2016-01-21 18:28:00+00:00,2457409.26944445,215.3
122,2016-01-21 18:29:00+00:00,2457409.27013889,218.13
123,2016-01-21 18:30:00+00:00,2457409.27083333,217.93
124,2016-01-21 18:31:00+00:00,2457409.27152778,215.32
125,2016-01-21 18:32:00+00:00,2457409.27222222,213.07
126,2016-01-21 18:33:00+00:00,2457409.27291667,217.33
127,2016-01-21 18:34:00+00:00,2457409.27361111,218.83
128,2016-01-21 18:35:00+00:00,2457409.27430556,218.28
129,2016-01-21 18:36:00+00:00,2457409.275,214.0
130,2016-01-21 18:37:00+00:00,2457409.27569444,214.92
131,2016-01-21 18:38:00+00:00,2457409.27638889,218.0
132,2016-01-21 18:39:00+00:00,2457409.27708333,216.98
133,2016-01-21 18:40:00+00:00,2457409.27777778,220.37
134,2016-01-21 18:41:00+00:00,2457409.27847222,220.48
135,2016-01-21 18:42:00+00:00,2457409.27916667,216.03
136,2016-01-21 18:43:00+00:00,2457409.27986111,217.48
137,2016-01-21 18:44:00+00:00,2457409.28055556,223.5
138,2016-01-21 18:45:00+00:00,2457409.28125,215.8
139,2016-01-21 18:46:00+00:00,2457409.28194444,218.0
140,2016-01-21 18:47:00+00:00,2457409.28263889,219.0
141,2016-01-21 18:48:00+00:00,2457409.28333333,216.17
142,2016-01-21 18:49:00+00:00,2457409.28402778,216.37
143,2016-01-21 18:50:00+00:00,2457409.28472222,218.98
144,2016-01-21 18:51:00+00:00,2457409.28541667,217.93
145,2016-01-21 18:52:00+00:00,2457409.28611111,215.42
146,2016-01-21 18:53:00+00:00,2457409.28680556,216.28
147,2016-01-21 18:54:00+00:00,2457409.2875,216.22
148,2016-01-21 18:55:00+00:00,2457409.28819444,218.07
149,2016-01-21 18:56:00+00:00,2457409.28888889,215.5
150,2016-01-21 18:57:00+00:00,2457409.28958333,215.5
151,2016-01-21 18:58:00+00:00,2457409.29027778,219.93
152,2016-01-21 18:59:00+00:00,2457409.29097222,219.08
153,2016-01-21 19:00:00+00:00,2457409.29166667,216.67
154,2016-01-21 19:01:00+00:00,2457409.29236111,213.23
155,2016-01-21 19:02:00+00:00,2457409.29305556,217.22
156,2016-01-21 19:03:00+00:00,2457409.29375,219.87
157,2016-01-21 19:04:00+00:00,2457409.29444445,213.23
158,2016-01-21 19:05:00+00:00,2457409.29513889,218.43
159,2016-01-21 19:06:00+00:00,2457409.29583333,218.88
160,2016-01-21 19:07:00+00:00,2457409.29652778,216.47
161,2016-01-21 19:08:00+00:00,2457409.29722222,219.32
162,2016-01-21 19:09:00+00:00,2457409.29791667,219.05
163,2016-01-21 19:10:00+00:00,2457409.29861111,215.9
164,2016-01-21 19:11:00+00:00,2457409.29930556,216.4
165,2016-01-21 19:12:00+00:00,2457409.3,216.37
166,2016-01-21 19:13:00+00:00,2457409.30069445,217.17
167,2016-01-21 19:14:00+00:00,2457409.30138889,218.15
168,2016-01-21 19:15:00+00:00,2457409.30208333,220.37
169,2016-01-21 19:16:00+00:00,2457409.30277778,216.44
170,2016-01-21 19:17:00+00:00,2457409.30347222,220.26
171,2016-01-21 19:18:00+00:00,2457409.30416667,217.07
172,2016-01-21 19:19:00+00:00,2457409.30486111,215.05
173,2016-01-21 19:20:00+00:00,2457409.30555556,214.82
174,2016-01-21 19:21:00+00:00,2457409.30625,217.95
175,2016-01-21 19:22:00+00:00,2457409.30694444,218.68
176,2016-01-21 19:23:00+00:00,2457409.30763889,216.13
177,2016-01-21 19:24:00+00:00,2457409.30833333,215.72
178,2016-01-21 19:25:00+00:00,2457409.30902778,216.1
179,2016-01-21 19:26:00+00:00,2457409.30972222,215.57
180,2016-01-21 19:27:00+00:00,2457409.31041667,218.4
181,2016-01-21 19:28:00+00:00,2457409.31111111,213.07
182,2016-01-21 19:29:00+00:00,2457409.31180556,217.8
183,2016-01-21 19:30:00+00:00,2457409.3125,214.73
184,2016-01-21 19:31:00+00:00,2457409.31319444,216.6
185,2016-01-21 19:32:00+00:00,2457409.31388889,217.48
186,2016-01-21 19:33:00+00:00,2457409.31458333,215.3
187,2016-01-21 19:34:00+00:00,2457409.31527778,212.67
188,2016-01-21 19:35:00+00:00,2457409.31597222,214.67
189,2016-01-21 19:36:00+00:00,2457409.31666667,213.37
190,2016-01-21 19:37:00+00:00,2457409.31736111,218.45
191,2016-01-21 19:38:00+00:00,2457409.31805556,217.73
192,2016-01-21 19:39:00+00:00,2457409.31875,215.97
193,2016-01-21 19:40:00+00:00,2457409.31944444,214.25
194,2016-01-21 19:41:00+00:00,2457409.32013889,212.85
195,2016-01-21 19:42:00+00:00,2457409.32083333,212.12
196,2016-01-21 19:43:00+00:00,2457409.32152778,214.8
197,2016-01-21 19:44:00+00:00,2457409.32222222,213.97
198,2016-01-21 19:45:00+00:00,2457409.32291667,214.03
199,2016-01-21 19:46:00+00:00,2457409.32361111,216.52
200,2016-01-21 19:47:00+00:00,2457409.32430556,218.73
201,2016-01-21 19:48:00+00:00,2457409.325,214.48
202,2016-01-21 19:49:00+00:00,2457409.32569445,213.73
203,2016-01-21 19:50:00+00:00,2457409.32638889,214.67
204,2016-01-21 19:51:00+00:00,2457409.32708333,215.52
205,2016-01-21 19:52:00+00:00,2457409.32777778,214.98
206,2016-01-21 19:53:00+00:00,2457409.32847222,213.47
207,2016-01-21 19:54:00+00:00,2457409.32916667,210.17
208,2016-01-21 19:55:00+00:00,2457409.32986111,214.67
209,2016-01-21 19:56:00+00:00,2457409.33055556,212.43
210,2016-01-21 19:57:00+00:00,2457409.33125,211.32
211,2016-01-21 19:58:00+00:00,2457409.33194445,211.27
212,2016-01-21 19:59:00+00:00,2457409.33263889,213.83
213,2016-01-21 20:00:00+00:00,2457409.33333333,209.08
214,2016-01-21 20:01:00+00:00,2457409.33402778,211.85
215,2016-01-21 20:02:00+00:00,2457409.33472222,210.7
216,2016-01-21 20:03:00+00:00,2457409.33541667,210.78
217,2016-01-21 20:04:00+00:00,2457409.33611111,211.2
218,2016-01-21 20:05:00+00:00,2457409.33680556,211.73
219,2016-01-21 20:06:00+00:00,2457409.3375,212.47
220,2016-01-21 20:07:00+00:00,2457409.33819444,208.22
221,2016-01-21 20:08:00+00:00,2457409.33888889,211.78
222,2016-01-21 20:09:00+00:00,2457409.33958333,208.25
223,2016-01-21 20:10:00+00:00,2457409.34027778,205.93
224,2016-01-21 20:11:00+00:00,2457409.34097222,209.93
225,2016-01-21 20:12:00+00:00,2457409.34166667,210.35
226,2016-01-21 20:13:00+00:00,2457409.34236111,212.95
227,2016-01-21 20:14:00+00:00,2457409.34305556,208.08
228,2016-01-21 20:15:00+00:00,2457409.34375,211.67
229,2016-01-21 20:16:00+00:00,2457409.34444444,208.82
230,2016-01-21 20:17:00+00:00,2457409.34513889,213.9
231,2016-01-21 20:18:00+00:00,2457409.34583333,211.13
232,2016-01-21 20:19:00+00:00,2457409.34652778,215.2
233,2016-01-21 20:20:00+00:00,2457409.34722222,211.7
234,2016-01-21 20:21:00+00:00,2457409.34791667,213.08
235,2016-01-21 20:22:00+00:00,2457409.34861111,212.15
236,2016-01-21 20:23:00+00:00,2457409.34930556,213.0
237,2016-01-21 20:24:00+00:00,2457409.35,212.55
238,2016-01-21 20:25:00+00:00,2457409.35069444,211.02
239,2016-01-21 20:26:00+00:00,2457409.35138889,209.53
240,2016-01-21 20:27:00+00:00,2457409.35208333,214.73
241,2016-01-21 20:28:00+00:00,2457409.35277778,211.1
242,2016-01-21 20:29:00+00:00,2457409.35347222,214.0
243,2016-01-21 20:30:00+00:00,2457409.35416667,214.02
244,2016-01-21 20:31:00+00:00,2457409.35486111,211.2
245,2016-01-21 20:32:00+00:00,2457409.35555556,210.63
246,2016-01-21 20:33:00+00:00,2457409.35625,213.86
247,2016-01-21 20:34:00+00:00,2457409.35694445,208.3
248,2016-01-21 20:35:00+00:00,2457409.35763889,211.52
249,2016-01-21 20:36:00+00:00,2457409.35833333,208.57
250,2016-01-21 20:37:00+00:00,2457409.35902778,210.33
251,2016-01-21 20:38:00+00:00,2457409.35972222,208.8
252,2016-01-21 20:39:00+00:00,2457409.36041667,207.9
253,2016-01-21 20:40:00+00:00,2457409.36111111,212.55
254,2016-01-21 20:41:00+00:00,2457409.36180556,212.82
255,2016-01-21 20:42:00+00:00,2457409.3625,208.32
256,2016-01-21 20:43:00+00:00,2457409.36319445,210.25
257,2016-01-21 20:44:00+00:00,2457409.36388889,209.82
258,2016-01-21 20:45:00+00:00,2457409.36458333,206.95
259,2016-01-21 20:46:00+00:00,2457409.36527778,208.98
260,2016-01-21 20:47:00+00:00,2457409.36597222,208.85
261,2016-01-21 20:48:00+00:00,2457409.36666667,213.47
262,2016-01-21 20:49:00+00:00,2457409.36736111,210.62
263,2016-01-21 20:50:00+00:00,2457409.36805556,209.42
264,2016-01-21 20:51:00+00:00,2457409.36875,209.47
265,2016-01-21 20:52:00+00:00,2457409.36944444,213.72
266,2016-01-21 20:53:00+00:00,2457409.37013889,208.03
267,2016-01-21 20:54:00+00:00,2457409.37083333,208.85
268,2016-01-21 20:55:00+00:00,2457409.37152778,208.23
269,2016-01-21 20:56:00+00:00,2457409.37222222,209.37
270,2016-01-21 20:57:00+00:00,2457409.37291667,212.37
271,2016-01-21 20:58:00+00:00,2457409.37361111,213.78
272,2016-01-21 20:59:00+00:00,2457409.37430556,209.27
273,2016-01-21 21:00:00+00:00,2457409.375,209.82
274,2016-01-21 21:01:00+00:00,2457409.37569444,210.02
275,2016-01-21 21:02:00+00:00,2457409.37638889,208.75
276,2016-01-21 21:03:00+00:00,2457409.37708333,207.4
277,2016-01-21 21:04:00+00:00,2457409.37777778,205.23
278,2016-01-21 21:05:00+00:00,2457409.37847222,211.35
279,2016-01-21 21:06:00+00:00,2457409.37916667,209.95
280,2016-01-21 21:07:00+00:00,2457409.37986111,211.12
281,2016-01-21 21:08:00+00:00,2457409.38055556,202.75
282,2016-01-21 21:09:00+00:00,2457409.38125,211.58
283,2016-01-21 21:10:00+00:00,2457409.38194444,207.67
284,2016-01-21 21:11:00+00:00,2457409.38263889,210.62
285,2016-01-21 21:12:00+00:00,2457409.38333333,207.12
286,2016-01-21 21:13:00+00:00,2457409.38402778,207.65
287,2016-01-21 21:14:00+00:00,2457409.38472222,204.55
288,2016-01-21 21:15:00+00:00,2457409.38541667,206.15
289,2016-01-21 21:16:00+00:00,2457409.38611111,207.23
290,2016-01-21 21:17:00+00:00,2457409.38680556,207.33
291,2016-01-21 21:18:00+00:00,2457409.3875,208.0
292,2016-01-21 21:19:00+00:00,2457409.38819445,211.57
293,2016-01-21 21:20:00+00:00,2457409.38888889,212.03
294,2016-01-21 21:21:00+00:00,2457409.38958333,211.3
295,2016-01-21 21:22:00+00:00,2457409.39027778,204.58
296,2016-01-21 21:23:00+00:00,2457409.39097222,206.48
297,2016-01-21 21:24:00+00:00,2457409.39166667,208.88
298,2016-01-21 21:25:00+00:00,2457409.39236111,212.05
299,2016-01-21 21:26:00+00:00,2457409.39305556,210.23
300,2016-01-21 21:27:00+00:00,2457409.39375,212.27
301,2016-01-21 21:28:00+00:00,2457409.39444445,206.15
302,2016-01-21 21:29:00+00:00,2457409.39513889,210.68
303,2016-01-21 21:30:00+00:00,2457409.39583333,206.83
304,2016-01-21 21:31:00+00:00,2457409.39652778,207.88
305,2016-01-21 21:32:00+00:00,2457409.39722222,206.75
306,2016-01-21 21:33:00+00:00,2457409.39791667,211.27
307,2016-01-21 21:34:00+00:00,2457409.39861111,207.07
308,2016-01-21 21:35:00+00:00,2457409.39930556,213.2
309,2016-01-21 21:36:00+00:00,2457409.4,203.92
310,2016-01-21 21:37:00+00:00,2457409.40069444,210.23
311,2016-01-21 21:38:00+00:00,2457409.40138889,211.97
312,2016-01-21 21:39:00+00:00,2457409.40208333,210.63
313,2016-01-21 21:40:00+00:00,2457409.40277778,209.52
314,2016-01-21 21:41:00+00:00,2457409.40347222,210.9
315,2016-01-21 21:42:00+00:00,2457409.40416667,216.65
316,2016-01-21 21:43:00+00:00,2457409.40486111,206.78
317,2016-01-21 21:44:00+00:00,2457409.40555556,214.15
318,2016-01-21 21:45:00+00:00,2457409.40625,213.28
319,2016-01-21 21:46:00+00:00,2457409.40694444,213.87
320,2016-01-21 21:47:00+00:00,2457409.40763889,211.15
321,2016-01-21 21:48:00+00:00,2457409.40833333,207.35
322,2016-01-21 21:49:00+00:00,2457409.40902778,211.03
