No,Zulu,Julday,Temp
37,2016-01-21 17:01:00+00:00,2457409.20902778,211.17
38,2016-01-21 17:02:00+00:00,2457409.20972222,218.03
39,2016-01-21 17:03:00+00:00,2457409.21041667,214.22
40,2016-01-21 17:04:00+00:00,2457409.21111111,215.52
41,2016-01-21 17:05:00+00:00,2457409.21180556,217.3
42,2016-01-21 17:06:00+00:00,2457409.2125,213.8
43,2016-01-21 17:07:00+00:00,2457409.21319444,219.27
44,2016-01-21 17:08:00+00:00,2457409.21388889,215.05
45,2016-01-21 17:09:00+00:00,2457409.21458333,214.8
46,2016-01-21 17:10:00+00:00,2457409.21527778,216.15
47,2016-01-21 17:11:00+00:00,2457409.21597222,214.0
48,2016-01-21 17:12:00+00:00,2457409.21666667,210.05
49,2016-01-21 17:13:00+00:00,2457409.21736111,213.38
50,2016-01-21 17:14:00+00:00,2457409.21805556,213.05
51,2016-01-21 17:15:00+00:00,2457409.21875,218.12
52,2016-01-21 17:16:00+00:00,2457409.21944444,216.25
53,2016-01-21 17:17:00+00:00,2457409.22013889,213.68
54,2016-01-21 17:18:00+00:00,2457409.22083333,213.8
55,2016-01-21 17:19:00+00:00,2457409.22152778,214.15
56,2016-01-21 17:20:00+00:00,2457409.22222222,213.32
57,2016-01-21 17:21:00+00:00,2457409.22291667,210.75
58,2016-01-21 17:22:00+00:00,2457409.22361111,211.12
59,2016-01-21 17:23:00+00:00,2457409.22430556,215.05
60,2016-01-21 17:24:00+00:00,2457409.225,213.15
61,2016-01-21 17:25:00+00:00,2457409.22569444,212.53
62,2016-01-21 17:26:00+00:00,2457409.22638889,212.3
63,2016-01-21 17:27:00+00:00,2457409.22708333,214.22
64,2016-01-21 17:28:00+00:00,2457409.22777778,216.98
65,2016-01-21 17:29:00+00:00,2457409.22847222,216.75
66,2016-01-21 17:30:00+00:00,2457409.22916667,211.62
67,2016-01-21 17:31:00+00:00,2457409.22986111,215.32
68,2016-01-21 17:32:00+00:00,2457409.23055556,213.57
69,2016-01-21 17:33:00+00:00,2457409.23125,214.85
70,2016-01-21 17:34:00+00:00,2457409.23194445,221.73
71,2016-01-21 17:35:00+00:00,2457409.23263889,216.73
72,2016-01-21 17:36:00+00:00,2457409.23333333,213.07
73,2016-01-21 17:37:00+00:00,2457409.23402778,213.57
74,2016-01-21 17:38:00+00:00,2457409.23472222,217.25
75,2016-01-21 17:39:00+00:00,2457409.23541667,214.5
76,2016-01-21 17:40:00+00:00,2457409.23611111,218.1
77,2016-01-21 17:41:00+00:00,2457409.23680556,218.85
78,2016-01-21 17:42:00+00:00,2457409.2375,213.47
79,2016-01-21 17:43:00+00:00,2457409.23819445,216.4
80,2016-01-21 17:44:00+00:00,2457409.23888889,217.88
81,2016-01-21 17:45:00+00:00,2457409.23958333,219.07
82,2016-01-21 17:46:00+00:00,2457409.24027778,216.0
83,2016-01-21 17:47:00+00:00,2457409.24097222,221.17
84,2016-01-21 17:48:00+00:00,2457409.24166667,216.77
85,2016-01-21 17:49:00+00:00,2457409.24236111,217.25
86,2016-01-21 17:50:00+00:00,2457409.24305556,213.57
87,2016-01-21 17:51:00+00:00,2457409.24375,212.7
88,2016-01-21 17:52:00+00:00,2457409.24444444,215.33
89,2016-01-21 17:53:00+00:00,2457409.24513889,211.35
90,2016-01-21 17:54:00+00:00,2457409.24583333,218.1
91,2016-01-21 17:55:00+00:00,2457409.24652778,216.57
92,2016-01-21 17:56:00+00:00,2457409.24722222,215.63
93,2016-01-21 17:57:00+00:00,2457409.24791667,214.0
94,2016-01-21 17:58:00+00:00,2457409.24861111,215.55
95,2016-01-21 17:59:00+00:00,2457409.24930556,216.17
96,2016-01-21 18:00:00+00:00,2457409.25,216.05
97,2016-01-21 18:01:00+00:00,2457409.25069444,215.9
98,2016-01-21 18:02:00+00:00,2457409.25138889,215.7
99,2016-01-21 18:03:00+00:00,2457409.25208333,216.4
100,2016-01-21 18:04:00+00:00,2457409.25277778,214.88
101,2016-01-21 18:05:00+00:00,2457409.25347222,215.05
102,2016-01-21 18:06:00+00:00,2457409.25416667,213.4
103,2016-01-21 18:07:00+00:00,2457409.25486111,218.23
104,2016-01-21 18:08:00+00:00,2457409.25555556,214.65
105,2016-01-21 18:09:00+00:00,2457409.25625,216.57
106,2016-01-21 18:10:00+00:00,2457409.25694444,217.55
107,2016-01-21 18:11:00+00:00,2457409.25763889,215.4
108,2016-01-21 18:12:00+00:00,2457409.25833333,217.38
109,2016-01-21 18:13:00+00:00,2457409.25902778,213.87
110,2016-01-21 18:14:00+00:00,2457409.25972222,216.77
111,2016-01-21 18:15:00+00:00,2457409.26041667,218.55
112,2016-01-21 18:16:00+00:00,2457409.26111111,213.58
113,2016-01-21 18:17:00+00:00,2457409.26180556,218.13
114,2016-01-21 18:18:00+00:00,2457409.2625,215.5
115,2016-01-21 18:19:00+00:00,2457409.26319445,220.17
116,2016-01-21 18:20:00+00:00,2457409.26388889,217.67
117,2016-01-21 18:21:00+00:00,2457409.26458333,214.13
118,2016-01-21 18:22:00+00:00,2457409.26527778,217.32
119,2016-01-21 18:23:00+00:00,2457409.26597222,214.7
120,2016-01-21 18:24:00+00:00,2457409.26666667,217.5
121,2016-01-21 18:25:00+00:00,2457409.26736111,217.3
122,2016-01-21 18:26:00+00:00,2457409.26805556,219.8
123,2016-01-21 18:27:00+00:00,2457409.26875,213.98
124,2016-01-21 18:28:00+00:00,2457409.26944445,221.27
125,2016-01-21 18:29:00+00:00,2457409.27013889,218.2
126,2016-01-21 18:30:00+00:00,2457409.27083333,217.33
127,2016-01-21 18:31:00+00:00,2457409.27152778,216.82
128,2016-01-21 18:32:00+00:00,2457409.27222222,214.53
129,2016-01-21 18:33:00+00:00,2457409.27291667,219.12
130,2016-01-21 18:34:00+00:00,2457409.27361111,217.2
131,2016-01-21 18:35:00+00:00,2457409.27430556,213.73
132,2016-01-21 18:36:00+00:00,2457409.275,213.23
133,2016-01-21 18:37:00+00:00,2457409.27569444,216.1
134,2016-01-21 18:38:00+00:00,2457409.27638889,217.38
135,2016-01-21 18:39:00+00:00,2457409.27708333,216.88
136,2016-01-21 18:40:00+00:00,2457409.27777778,212.05
137,2016-01-21 18:41:00+00:00,2457409.27847222,217.23
138,2016-01-21 18:42:00+00:00,2457409.27916667,212.18
139,2016-01-21 18:43:00+00:00,2457409.27986111,215.88
140,2016-01-21 18:44:00+00:00,2457409.28055556,216.38
141,2016-01-21 18:45:00+00:00,2457409.28125,215.86
142,2016-01-21 18:46:00+00:00,2457409.28194444,216.57
143,2016-01-21 18:47:00+00:00,2457409.28263889,218.4
144,2016-01-21 18:48:00+00:00,2457409.28333333,218.1
145,2016-01-21 18:49:00+00:00,2457409.28402778,212.43
146,2016-01-21 18:50:00+00:00,2457409.28472222,212.13
147,2016-01-21 18:51:00+00:00,2457409.28541667,212.7
148,2016-01-21 18:52:00+00:00,2457409.28611111,215.07
149,2016-01-21 18:53:00+00:00,2457409.28680556,217.0
150,2016-01-21 18:54:00+00:00,2457409.2875,214.78
151,2016-01-21 18:55:00+00:00,2457409.28819444,214.9
152,2016-01-21 18:56:00+00:00,2457409.28888889,214.38
153,2016-01-21 18:57:00+00:00,2457409.28958333,218.2
154,2016-01-21 18:58:00+00:00,2457409.29027778,213.15
155,2016-01-21 18:59:00+00:00,2457409.29097222,212.73
156,2016-01-21 19:00:00+00:00,2457409.29166667,214.02
157,2016-01-21 19:01:00+00:00,2457409.29236111,209.7
158,2016-01-21 19:02:00+00:00,2457409.29305556,210.15
159,2016-01-21 19:03:00+00:00,2457409.29375,214.85
160,2016-01-21 19:04:00+00:00,2457409.29444445,215.23
161,2016-01-21 19:05:00+00:00,2457409.29513889,218.48
162,2016-01-21 19:06:00+00:00,2457409.29583333,213.4
163,2016-01-21 19:07:00+00:00,2457409.29652778,214.52
164,2016-01-21 19:08:00+00:00,2457409.29722222,218.95
165,2016-01-21 19:09:00+00:00,2457409.29791667,213.65
166,2016-01-21 19:10:00+00:00,2457409.29861111,214.02
167,2016-01-21 19:11:00+00:00,2457409.29930556,211.62
168,2016-01-21 19:12:00+00:00,2457409.3,218.48
169,2016-01-21 19:13:00+00:00,2457409.30069445,215.88
170,2016-01-21 19:14:00+00:00,2457409.30138889,213.1
171,2016-01-21 19:15:00+00:00,2457409.30208333,213.95
172,2016-01-21 19:16:00+00:00,2457409.30277778,215.05
173,2016-01-21 19:17:00+00:00,2457409.30347222,209.77
174,2016-01-21 19:18:00+00:00,2457409.30416667,210.43
175,2016-01-21 19:19:00+00:00,2457409.30486111,211.47
176,2016-01-21 19:20:00+00:00,2457409.30555556,211.57
177,2016-01-21 19:21:00+00:00,2457409.30625,214.93
178,2016-01-21 19:22:00+00:00,2457409.30694444,214.77
179,2016-01-21 19:23:00+00:00,2457409.30763889,214.0
180,2016-01-21 19:24:00+00:00,2457409.30833333,213.43
181,2016-01-21 19:25:00+00:00,2457409.30902778,215.48
182,2016-01-21 19:26:00+00:00,2457409.30972222,216.17
183,2016-01-21 19:27:00+00:00,2457409.31041667,212.62
184,2016-01-21 19:28:00+00:00,2457409.31111111,214.55
185,2016-01-21 19:29:00+00:00,2457409.31180556,214.77
186,2016-01-21 19:30:00+00:00,2457409.3125,217.13
187,2016-01-21 19:31:00+00:00,2457409.31319444,218.63
188,2016-01-21 19:32:00+00:00,2457409.31388889,214.65
189,2016-01-21 19:33:00+00:00,2457409.31458333,209.92
190,2016-01-21 19:34:00+00:00,2457409.31527778,214.48
191,2016-01-21 19:35:00+00:00,2457409.31597222,215.38
192,2016-01-21 19:36:00+00:00,2457409.31666667,209.55
193,2016-01-21 19:37:00+00:00,2457409.31736111,211.12
194,2016-01-21 19:38:00+00:00,2457409.31805556,210.75
195,2016-01-21 19:39:00+00:00,2457409.31875,214.68
196,2016-01-21 19:40:00+00:00,2457409.31944444,207.95
197,2016-01-21 19:41:00+00:00,2457409.32013889,213.7
198,2016-01-21 19:42:00+00:00,2457409.32083333,212.25
199,2016-01-21 19:43:00+00:00,2457409.32152778,205.03
200,2016-01-21 19:44:00+00:00,2457409.32222222,209.1
201,2016-01-21 19:45:00+00:00,2457409.32291667,211.1
202,2016-01-21 19:46:00+00:00,2457409.32361111,210.9
203,2016-01-21 19:47:00+00:00,2457409.32430556,205.87
204,2016-01-21 19:48:00+00:00,2457409.325,210.0
205,2016-01-21 19:49:00+00:00,2457409.32569445,214.83
206,2016-01-21 19:50:00+00:00,2457409.32638889,211.0
207,2016-01-21 19:51:00+00:00,2457409.32708333,208.17
208,2016-01-21 19:52:00+00:00,2457409.32777778,209.88
209,2016-01-21 19:53:00+00:00,2457409.32847222,213.17
210,2016-01-21 19:54:00+00:00,2457409.32916667,207.33
211,2016-01-21 19:55:00+00:00,2457409.32986111,212.95
212,2016-01-21 19:56:00+00:00,2457409.33055556,207.73
213,2016-01-21 19:57:00+00:00,2457409.33125,210.05
214,2016-01-21 19:58:00+00:00,2457409.33194445,211.7
215,2016-01-21 19:59:00+00:00,2457409.33263889,213.42
216,2016-01-21 20:00:00+00:00,2457409.33333333,210.67
217,2016-01-21 20:01:00+00:00,2457409.33402778,210.17
218,2016-01-21 20:02:00+00:00,2457409.33472222,203.87
219,2016-01-21 20:03:00+00:00,2457409.33541667,204.7
220,2016-01-21 20:04:00+00:00,2457409.33611111,210.0
221,2016-01-21 20:05:00+00:00,2457409.33680556,211.88
222,2016-01-21 20:06:00+00:00,2457409.3375,209.95
